,,,Inside 10,Inside 10,Inside 10,Inside 5,Inside 5,Inside 5
2024,Aaron Jones,MIN,24,3,66.70%,12,3,70.60%
2024,Chuba Hubbard,CAR,27,7,65.90%,17,7,77.30%
2024,Brian Robinson,WAS,24,7,35.30%,11,4,36.70%
2024,Rhamondre Stevenson,NWE,18,5,62.10%,11,5,64.70%
2024,De'Von Achane,MIA,23,4,59.00%,12,3,66.70%
2024,Jayden Daniels,WAS,16,5,23.50%,10,4,33.30%
2024,Bucky Irving,TAM,22,6,51.20%,12,4,60.00%
2024,Alvin Kamara,NOR,17,5,54.80%,7,3,58.30%
2024,Tank Bigsby,JAX,21,5,52.50%,11,4,50.00%
2024,Jordan Mason,SFO,19,3,33.90%,7,1,29.20%
2024,Tony Pollard,TEN,14,3,56.00%,5,2,50.00%
2024,Josh Allen,BUF,18,10,30.00%,10,7,37.00%
2024,D'Andre Swift,CHI,18,3,54.50%,8,3,38.10%
2024,J.K. Dobbins,LAC,17,5,37.00%,8,4,36.40%
2024,Javonte Williams,DEN,13,3,39.40%,8,1,38.10%
2024,Rico Dowdle,DAL,10,2,38.50%,5,2,41.70%
2024,Tyler Allgeier,ATL,13,3,25.00%,5,1,25.00%
2024,Zach Charbonnet,SEA,17,6,48.60%,11,4,44.00%
2024,Alexander Mattison,LVR,14,4,41.20%,10,4,50.00%
2024,Travis Etienne,JAX,10,2,25.00%,5,2,22.70%
2024,Tyrone Tracy,NYG,10,3,30.30%,4,3,25.00%
2024,Kenneth Walker,SEA,15,4,42.90%,11,4,44.00%
2024,Gus Edwards,LAC,12,4,26.10%,5,3,22.70%
2024,Austin Ekeler,WAS,11,3,16.20%,5,3,16.70%
2024,Kenneth Gainwell,PHI,8,0,12.10%,2,0,5.70%
2024,Rachaad White,TAM,13,3,30.20%,4,2,20.00%
2024,Breece Hall,NYJ,10,3,62.50%,8,3,80.00%
2024,Anthony Richardson,IND,14,5,25.00%,8,4,26.70%
2024,Ray Davis,BUF,7,2,11.70%,2,1,7.40%
2024,Lamar Jackson,BAL,8,3,18.20%,0,0,0.00%
2024,Bo Nix,DEN,6,4,18.20%,5,4,23.80%
2024,Jaylen Warren,PIT,6,1,11.30%,3,1,17.60%
2024,Nick Chubb,CLE,10,3,31.30%,5,3,35.70%
2024,Zack Moss,CIN,11,2,25.00%,6,1,28.60%
2024,Justin Fields,PIT,11,5,20.80%,4,2,23.50%
2024,Jaleel McLaughlin,DEN,6,1,18.20%,3,1,14.30%
2024,Brock Purdy,SFO,10,5,17.90%,4,3,16.70%
2024,Antonio Gibson,NWE,5,0,17.20%,3,0,17.60%
2024,Isaac Guerendo,SFO,10,3,17.90%,4,3,16.70%
2024,Roschon Johnson,CHI,10,6,30.30%,8,6,38.10%
2024,Raheem Mostert,MIA,10,2,25.60%,4,1,22.20%
2024,Ameer Abdullah,LVR,8,2,23.50%,4,1,20.00%
2024,Cam Akers,2TM,4,1,,2,1,
2024,Hassan Haskins,LAC,11,2,23.90%,8,2,36.40%
